Page,Section,Component,Usage,Image Path,Image Source Type,Viewport,Device Pixel Ratio,Measurement Basis,Full Component Width,Full Component Height,Image Viewport Width,Image Viewport Height,Display Aspect Ratio,Natural Width,Natural Height,Source Aspect Ratio,Current File Size Bytes,Object Fit,Object Position,Overflow,Border Radius,Opacity / Overlay,Cover Scale,Rendered Width,Rendered Height,Overflow CSS Pixels,Crop Direction,Visible Percentage,Crop Percentage,Crop Per Side,Recommended Width,Recommended Height,Recommended Aspect Ratio,Safe Area Horizontal,Safe Area Vertical,Text Overlay Position,Text-free Side EN,Text-free Side AR,Recommended Format,Recommended Max File Size,Notes
About,Quote CTA,QuoteCta,Background,/site-images/about/quote-cta-section/background.png,Local,Tablet 768x1024,1,Browser measured,753,810.59,753,810.59,0.9290,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,Live quote/buttons over image,0.7354,753.00,1129.50,318.91 vertical,Top and bottom,71.77%,28.23%,14.12% top + 14.12% bottom,2400,1000,12:5,25%-75%,20%-80%,Live quote/buttons over image,keep both sides quiet,keep both sides quiet,WebP,350 KB,Crop direction changes by viewport
About,Quote CTA,QuoteCta,Background,/site-images/about/quote-cta-section/background.png,Local,Mobile 390x844,1,Browser measured,375,874.56,375,874.56,0.4288,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,Live quote/buttons over image,0.5694,583.04,874.56,208.04 horizontal,Left and right,64.32%,35.68%,17.84% left + 17.84% right,2400,1000,12:5,25%-75%,20%-80%,Live quote/buttons over image,keep both sides quiet,keep both sides quiet,WebP,350 KB,Crop direction changes by viewport
About,Sourcing,SourcingImage,Section image,/site-images/about/sourcing-section/coffee-beans.png,Local,Desktop 1440x900,1,Browser measured,549.11,686.38,547.11,684.38,0.7994,1717,916,1.8745,1673560,cover,50% 50%,hidden,24px,,0.7471,1282.84,684.38,735.73 horizontal,Left and right,42.65%,57.35%,28.68% left + 28.68% right,1200,1600,3:4,10%-90%,10%-90%,None,None,None,WebP,220 KB,Only 42.68% of wide source remains in 4:5
About,Sourcing,SourcingImage,Section image,/site-images/about/sourcing-section/coffee-beans.png,Local,Laptop 1280x800,1,Browser measured,542.52,678.14,540.52,676.14,0.7994,1717,916,1.8745,1673560,cover,50% 50%,hidden,24px,,0.7381,1267.39,676.14,726.87 horizontal,Left and right,42.65%,57.35%,28.68% left + 28.68% right,1200,1600,3:4,10%-90%,10%-90%,None,None,None,WebP,220 KB,Only 42.68% of wide source remains in 4:5
About,Sourcing,SourcingImage,Section image,/site-images/about/sourcing-section/coffee-beans.png,Local,Tablet 768x1024,1,Browser measured,384,480,382,478,0.7992,1717,916,1.8745,1673560,cover,50% 50%,hidden,24px,,0.5218,895.99,478.00,513.99 horizontal,Left and right,42.63%,57.37%,28.68% left + 28.68% right,1200,1600,3:4,10%-90%,10%-90%,None,None,None,WebP,220 KB,Only 42.68% of wide source remains in 4:5
About,Sourcing,SourcingImage,Section image,/site-images/about/sourcing-section/coffee-beans.png,Local,Mobile 390x844,1,Browser measured,343,428.75,341,426.75,0.7991,1717,916,1.8745,1673560,cover,50% 50%,hidden,24px,,0.4659,799.92,426.75,458.92 horizontal,Left and right,42.63%,57.37%,28.69% left + 28.69% right,1200,1600,3:4,10%-90%,10%-90%,None,None,None,WebP,220 KB,Only 42.68% of wide source remains in 4:5
Admin,Dashboard,WelcomeHero,Protected background,/site-images/admin/dashboard/welcome-background.png,Local,Desktop 1440x900,1,Code-defined / not rendered,,,,,,1024,1536,0.6667,1812504,cover,50% 50%,hidden,24px,0.45 plus dark gradient,,,,,,,,,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,Code-defined min-height 180px; auth protected
Admin,Dashboard,WelcomeHero,Protected background,/site-images/admin/dashboard/welcome-background.png,Local,Laptop 1280x800,1,Code-defined / not rendered,,,,,,1024,1536,0.6667,1812504,cover,50% 50%,hidden,24px,0.45 plus dark gradient,,,,,,,,,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,Code-defined min-height 180px; auth protected
Admin,Dashboard,WelcomeHero,Protected background,/site-images/admin/dashboard/welcome-background.png,Local,Tablet 768x1024,1,Code-defined / not rendered,,,,,,1024,1536,0.6667,1812504,cover,50% 50%,hidden,24px,0.45 plus dark gradient,,,,,,,,,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,Code-defined min-height 180px; auth protected
Admin,Dashboard,WelcomeHero,Protected background,/site-images/admin/dashboard/welcome-background.png,Local,Mobile 390x844,1,Code-defined / not rendered,,,,,,1024,1536,0.6667,1812504,cover,50% 50%,hidden,24px,0.45 plus dark gradient,,,,,,,,,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,Code-defined min-height 180px; auth protected
Admin,Sidebar,AdminSidebar,Thumbnail,/site-images/admin/sidebar/roastery-thumbnail.png,Local,Desktop 1440x900,1,Browser measured,56,56,56,56,1.0000,1024,1536,0.6667,1812504,cover,50% 50%,hidden,12px,,0.0547,56.00,84.00,28.00 vertical,Top and bottom,66.67%,33.33%,16.67% top + 16.67% bottom,512,512,1:1,15%-85%,15%-85%,None,N/A,N/A,WebP,60 KB,Fixed 56x56 from code; protected
Admin,Sidebar,AdminSidebar,Thumbnail,/site-images/admin/sidebar/roastery-thumbnail.png,Local,Laptop 1280x800,1,Browser measured,56,56,56,56,1.0000,1024,1536,0.6667,1812504,cover,50% 50%,hidden,12px,,0.0547,56.00,84.00,28.00 vertical,Top and bottom,66.67%,33.33%,16.67% top + 16.67% bottom,512,512,1:1,15%-85%,15%-85%,None,N/A,N/A,WebP,60 KB,Fixed 56x56 from code; protected
Admin,Sidebar,AdminSidebar,Thumbnail,/site-images/admin/sidebar/roastery-thumbnail.png,Local,Tablet 768x1024,1,Browser measured,56,56,56,56,1.0000,1024,1536,0.6667,1812504,cover,50% 50%,hidden,12px,,0.0547,56.00,84.00,28.00 vertical,Top and bottom,66.67%,33.33%,16.67% top + 16.67% bottom,512,512,1:1,15%-85%,15%-85%,None,N/A,N/A,WebP,60 KB,Fixed 56x56 from code; protected
Admin,Sidebar,AdminSidebar,Thumbnail,/site-images/admin/sidebar/roastery-thumbnail.png,Local,Mobile 390x844,1,Browser measured,56,56,56,56,1.0000,1024,1536,0.6667,1812504,cover,50% 50%,hidden,12px,,0.0547,56.00,84.00,28.00 vertical,Top and bottom,66.67%,33.33%,16.67% top + 16.67% bottom,512,512,1:1,15%-85%,15%-85%,None,N/A,N/A,WebP,60 KB,Fixed 56x56 from code; protected
Blog,Article cards,BlogCard,Fallback image,/site-images/blog/article-fallbacks/default.png,Local,Desktop 1440x900,1,Browser measured,402.66,435.17,400.66,208,1.9263,1024,1536,0.6667,1812504,cover,50% 50%,hidden,20px,,0.3913,400.66,600.99,392.99 vertical,Top and bottom,34.61%,65.39%,32.70% top + 32.70% bottom,1600,900,16:9,20%-80%,20%-80%,None,None,None,WebP,220 KB,Fallback was not triggered by current live rows
Blog,Article cards,BlogCard,Fallback image,/site-images/blog/article-fallbacks/default.png,Local,Laptop 1280x800,1,Browser measured,397.66,435.17,395.66,208,1.9022,1024,1536,0.6667,1812504,cover,50% 50%,hidden,20px,,0.3864,395.66,593.49,385.49 vertical,Top and bottom,35.05%,64.95%,32.48% top + 32.48% bottom,1600,900,16:9,20%-80%,20%-80%,None,None,None,WebP,220 KB,Fallback was not triggered by current live rows
Blog,Article cards,BlogCard,Fallback image,/site-images/blog/article-fallbacks/default.png,Local,Tablet 768x1024,1,Browser measured,350.5,435.17,348.5,208,1.6755,1024,1536,0.6667,1812504,cover,50% 50%,hidden,20px,,0.3403,348.50,522.75,314.75 vertical,Top and bottom,39.79%,60.21%,30.11% top + 30.11% bottom,1600,900,16:9,20%-80%,20%-80%,None,None,None,WebP,220 KB,Fallback was not triggered by current live rows
Blog,Article cards,BlogCard,Fallback image,/site-images/blog/article-fallbacks/default.png,Local,Mobile 390x844,1,Browser measured,343,435.17,341,208,1.6394,1024,1536,0.6667,1812504,cover,50% 50%,hidden,20px,,0.3330,341.00,511.50,303.50 vertical,Top and bottom,40.66%,59.34%,29.67% top + 29.67% bottom,1600,900,16:9,20%-80%,20%-80%,None,None,None,WebP,220 KB,Fallback was not triggered by current live rows
Blog,Listing hero,BlogHero,Background,/site-images/blog/hero-section/background.png,Local,Desktop 1440x900,1,Browser measured,1425,341.64,1425,341.64,4.1711,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,Live title over image,1.3916,1425.00,2137.50,1795.86 vertical,Top and bottom,15.98%,84.02%,42.01% top + 42.01% bottom,2400,1000,12:5,25%-75%,20%-80%,Live title over image,both sides quiet,both sides quiet,WebP,350 KB,Portrait source in very wide viewport
Blog,Listing hero,BlogHero,Background,/site-images/blog/hero-section/background.png,Local,Laptop 1280x800,1,Browser measured,1265,341.64,1265,341.64,3.7027,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,Live title over image,1.2354,1265.00,1897.50,1555.86 vertical,Top and bottom,18.00%,82.00%,41.00% top + 41.00% bottom,2400,1000,12:5,25%-75%,20%-80%,Live title over image,both sides quiet,both sides quiet,WebP,350 KB,Portrait source in very wide viewport
Blog,Listing hero,BlogHero,Background,/site-images/blog/hero-section/background.png,Local,Tablet 768x1024,1,Browser measured,753,341.64,753,341.64,2.2041,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,Live title over image,0.7354,753.00,1129.50,787.86 vertical,Top and bottom,30.25%,69.75%,34.88% top + 34.88% bottom,2400,1000,12:5,25%-75%,20%-80%,Live title over image,both sides quiet,both sides quiet,WebP,350 KB,Portrait source in very wide viewport
Blog,Listing hero,BlogHero,Background,/site-images/blog/hero-section/background.png,Local,Mobile 390x844,1,Browser measured,375,309.64,375,309.64,1.2111,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,Live title over image,0.3662,375.00,562.50,252.86 vertical,Top and bottom,55.05%,44.95%,22.48% top + 22.48% bottom,2400,1000,12:5,25%-75%,20%-80%,Live title over image,both sides quiet,both sides quiet,WebP,350 KB,Portrait source in very wide viewport
Contact,Hero,ContactHero,Background,/site-images/contact/hero-section/background.png,Local,Desktop 1440x900,1,Browser measured,1425,325.39,1425,325.39,4.3794,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,Live title over image,1.3916,1425.00,2137.50,1812.11 vertical,Top and bottom,15.22%,84.78%,42.39% top + 42.39% bottom,2400,1000,12:5,25%-75%,20%-80%,Live title over image,both sides quiet,both sides quiet,WebP,350 KB,Desktop retains only 15.22% of source height
Contact,Hero,ContactHero,Background,/site-images/contact/hero-section/background.png,Local,Laptop 1280x800,1,Browser measured,1265,325.39,1265,325.39,3.8876,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,Live title over image,1.2354,1265.00,1897.50,1572.11 vertical,Top and bottom,17.15%,82.85%,41.43% top + 41.43% bottom,2400,1000,12:5,25%-75%,20%-80%,Live title over image,both sides quiet,both sides quiet,WebP,350 KB,Desktop retains only 15.22% of source height
Contact,Hero,ContactHero,Background,/site-images/contact/hero-section/background.png,Local,Tablet 768x1024,1,Browser measured,753,294.39,753,294.39,2.5578,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,Live title over image,0.7354,753.00,1129.50,835.11 vertical,Top and bottom,26.06%,73.94%,36.97% top + 36.97% bottom,2400,1000,12:5,25%-75%,20%-80%,Live title over image,both sides quiet,both sides quiet,WebP,350 KB,Desktop retains only 15.22% of source height
Contact,Hero,ContactHero,Background,/site-images/contact/hero-section/background.png,Local,Mobile 390x844,1,Browser measured,375,275.39,375,275.39,1.3617,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,Live title over image,0.3662,375.00,562.50,287.11 vertical,Top and bottom,48.96%,51.04%,25.52% top + 25.52% bottom,2400,1000,12:5,25%-75%,20%-80%,Live title over image,both sides quiet,both sides quiet,WebP,350 KB,Desktop retains only 15.22% of source height
Home,Best Sellers,BestSellersSection,Decorative background,/site-images/home/background-decoration/best-sellers-section.png,Local,Desktop 1440x900,1,Browser measured,1425,480.77,1425,480.77,2.9640,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,0.16,1.3916,1425.00,2137.50,1656.73 vertical,Top and bottom,22.49%,77.51%,38.75% top + 38.75% bottom,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,Product cards load dynamically
Home,Best Sellers,BestSellersSection,Decorative background,/site-images/home/background-decoration/best-sellers-section.png,Local,Laptop 1280x800,1,Browser measured,1265,480.77,1265,480.77,2.6312,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,0.16,1.2354,1265.00,1897.50,1416.73 vertical,Top and bottom,25.34%,74.66%,37.33% top + 37.33% bottom,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,Product cards load dynamically
Home,Best Sellers,BestSellersSection,Decorative background,/site-images/home/background-decoration/best-sellers-section.png,Local,Tablet 768x1024,1,Browser measured,753,480.77,753,480.77,1.5662,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,0.16,0.7354,753.00,1129.50,648.73 vertical,Top and bottom,42.56%,57.44%,28.72% top + 28.72% bottom,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,Product cards load dynamically
Home,Best Sellers,BestSellersSection,Decorative background,/site-images/home/background-decoration/best-sellers-section.png,Local,Mobile 390x844,1,Browser measured,375,398.97,375,398.97,0.9399,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,0.16,0.3662,375.00,562.50,163.53 vertical,Top and bottom,70.93%,29.07%,14.54% top + 14.54% bottom,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,Product cards load dynamically
Home,Categories,CategoriesSection,Decorative background,/site-images/home/background-decoration/categories-section.png,Local,Desktop 1440x900,1,Browser measured,1425,690.61,1425,690.61,2.0634,1717,916,1.8745,1673560,background (cover),50% 50%,hidden,0px,0.08,0.8299,1425.00,760.22,69.61 vertical,Top and bottom,90.84%,9.16%,4.58% top + 4.58% bottom,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,No critical content near edges
Home,Categories,CategoriesSection,Decorative background,/site-images/home/background-decoration/categories-section.png,Local,Laptop 1280x800,1,Browser measured,1265,690.61,1265,690.61,1.8317,1717,916,1.8745,1673560,background (cover),50% 50%,hidden,0px,0.08,0.7539,1294.52,690.61,29.52 horizontal,Left and right,97.72%,2.28%,1.14% left + 1.14% right,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,No critical content near edges
Home,Categories,CategoriesSection,Decorative background,/site-images/home/background-decoration/categories-section.png,Local,Tablet 768x1024,1,Browser measured,753,669.28,753,669.28,1.1251,1717,916,1.8745,1673560,background (cover),50% 50%,hidden,0px,0.08,0.7307,1254.53,669.28,501.53 horizontal,Left and right,60.02%,39.98%,19.99% left + 19.99% right,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,No critical content near edges
Home,Categories,CategoriesSection,Decorative background,/site-images/home/background-decoration/categories-section.png,Local,Mobile 390x844,1,Browser measured,375,520.81,375,520.81,0.7200,1717,916,1.8745,1673560,background (cover),50% 50%,hidden,0px,0.08,0.5686,976.23,520.81,601.23 horizontal,Left and right,38.41%,61.59%,30.79% left + 30.79% right,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,No critical content near edges
Home,Contact CTA,ContactSection,Decorative background,/site-images/home/background-decoration/contact-section.png,Local,Desktop 1440x900,1,Browser measured,1425,639,1425,639,2.2300,1717,916,1.8745,1673560,background (cover),50% 50%,hidden,0px,0.20,0.8299,1425.00,760.22,121.22 vertical,Top and bottom,84.05%,15.95%,7.97% top + 7.97% bottom,2000,1600,5:4,25%-75%,25%-75%,None,Live text over section,both sides quiet,WebP,250 KB,both sides quiet
Home,Contact CTA,ContactSection,Decorative background,/site-images/home/background-decoration/contact-section.png,Local,Laptop 1280x800,1,Browser measured,1265,639,1265,639,1.9797,1717,916,1.8745,1673560,background (cover),50% 50%,hidden,0px,0.20,0.7368,1265.00,674.86,35.86 vertical,Top and bottom,94.69%,5.31%,2.66% top + 2.66% bottom,2000,1600,5:4,25%-75%,25%-75%,None,Live text over section,both sides quiet,WebP,250 KB,both sides quiet
Home,Contact CTA,ContactSection,Decorative background,/site-images/home/background-decoration/contact-section.png,Local,Tablet 768x1024,1,Browser measured,753,1066.02,753,1066.02,0.7064,1717,916,1.8745,1673560,background (cover),50% 50%,hidden,0px,0.20,1.1638,1998.21,1066.02,1245.21 horizontal,Left and right,37.68%,62.32%,31.16% left + 31.16% right,2000,1600,5:4,25%-75%,25%-75%,None,Live text over section,both sides quiet,WebP,250 KB,both sides quiet
Home,Contact CTA,ContactSection,Decorative background,/site-images/home/background-decoration/contact-section.png,Local,Mobile 390x844,1,Browser measured,375,1071.13,375,1071.13,0.3501,1717,916,1.8745,1673560,background (cover),50% 50%,hidden,0px,0.20,1.1694,2007.78,1071.13,1632.78 horizontal,Left and right,18.68%,81.32%,40.66% left + 40.66% right,2000,1600,5:4,25%-75%,25%-75%,None,Live text over section,both sides quiet,WebP,250 KB,both sides quiet
Home,Features,FeaturesSection,Decorative background,/site-images/home/background-decoration/features-section.png,Local,Desktop 1440x900,1,Browser measured,1425,524.41,1425,524.41,2.7173,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,0.07,1.3916,1425.00,2137.50,1613.09 vertical,Top and bottom,24.53%,75.47%,37.73% top + 37.73% bottom,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,Decorative only
Home,Features,FeaturesSection,Decorative background,/site-images/home/background-decoration/features-section.png,Local,Laptop 1280x800,1,Browser measured,1265,524.41,1265,524.41,2.4122,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,0.07,1.2354,1265.00,1897.50,1373.09 vertical,Top and bottom,27.64%,72.36%,36.18% top + 36.18% bottom,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,Decorative only
Home,Features,FeaturesSection,Decorative background,/site-images/home/background-decoration/features-section.png,Local,Tablet 768x1024,1,Browser measured,753,752.05,753,752.05,1.0013,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,0.07,0.7354,753.00,1129.50,377.45 vertical,Top and bottom,66.58%,33.42%,16.71% top + 16.71% bottom,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,Decorative only
Home,Features,FeaturesSection,Decorative background,/site-images/home/background-decoration/features-section.png,Local,Mobile 390x844,1,Browser measured,375,794.5,375,794.5,0.4720,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,0.07,0.5173,529.67,794.50,154.67 horizontal,Left and right,70.80%,29.20%,14.60% left + 14.60% right,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,Decorative only
Home,Testimonials,TestimonialsSection,Unrendered decorative background,/site-images/home/background-decoration/testimonials-section.png,Local,Desktop 1440x900,1,Code-defined / not rendered,,,,,,1717,916,1.8745,1673560,background (cover),50% 50%,hidden,0px,0.10,,,,,,,,,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,Component exists but is not mounted
Home,Testimonials,TestimonialsSection,Unrendered decorative background,/site-images/home/background-decoration/testimonials-section.png,Local,Laptop 1280x800,1,Code-defined / not rendered,,,,,,1717,916,1.8745,1673560,background (cover),50% 50%,hidden,0px,0.10,,,,,,,,,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,Component exists but is not mounted
Home,Testimonials,TestimonialsSection,Unrendered decorative background,/site-images/home/background-decoration/testimonials-section.png,Local,Tablet 768x1024,1,Code-defined / not rendered,,,,,,1717,916,1.8745,1673560,background (cover),50% 50%,hidden,0px,0.10,,,,,,,,,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,Component exists but is not mounted
Home,Testimonials,TestimonialsSection,Unrendered decorative background,/site-images/home/background-decoration/testimonials-section.png,Local,Mobile 390x844,1,Code-defined / not rendered,,,,,,1717,916,1.8745,1673560,background (cover),50% 50%,hidden,0px,0.10,,,,,,,,,2000,1600,5:4,25%-75%,25%-75%,None,N/A,N/A,WebP,250 KB,Component exists but is not mounted
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/cappuccino.png,Local,Desktop 1440x900,1,Browser measured,246.02,328.01,244.03,326.03,0.7485,1024,1536,0.6667,1937689,cover,50% 50%,hidden,20px,Bottom gradient,0.2383,244.03,366.05,40.02 vertical,Top and bottom,89.07%,10.93%,5.47% top + 5.47% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/cappuccino.png,Local,Laptop 1280x800,1,Browser measured,246.02,328.01,244.03,326.03,0.7485,1024,1536,0.6667,1937689,cover,50% 50%,hidden,20px,Bottom gradient,0.2383,244.03,366.05,40.02 vertical,Top and bottom,89.07%,10.93%,5.47% top + 5.47% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/cappuccino.png,Local,Tablet 768x1024,1,Browser measured,230.14,306.85,228.16,304.87,0.7484,1024,1536,0.6667,1937689,cover,50% 50%,hidden,20px,Bottom gradient,0.2228,228.16,342.24,37.37 vertical,Top and bottom,89.08%,10.92%,5.46% top + 5.46% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/cappuccino.png,Local,Mobile 390x844,1,Browser measured,174.59,232.78,172.61,230.79,0.7479,1024,1536,0.6667,1937689,cover,50% 50%,hidden,20px,Bottom gradient,0.1686,172.61,258.92,28.13 vertical,Top and bottom,89.14%,10.86%,5.43% top + 5.43% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/coffee-mix.png,Local,Desktop 1440x900,1,Browser measured,246.02,328.01,244.03,326.03,0.7485,1024,1536,0.6667,2173874,cover,50% 50%,hidden,20px,Bottom gradient,0.2383,244.03,366.05,40.02 vertical,Top and bottom,89.07%,10.93%,5.47% top + 5.47% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
